GovEntityID,Entity_Name,ParentEntityName,YEAR,Population,Tot_Rev,Police_Exp,Health_Exp,Housing_Exp,Tot_Exp,Tot_Exp2
700,Otsego,Wright,2018,17323,13693544,1177836,0,400,5434571,15274754
701,Ottertail,Otter Tail,2018,640,676817,0,0,0,472297,644083
702,Owatonna,Steele,2018,26087,25248472,4870976,0,503624,21035160,28658694
703,Palisade,Aitkin,2018,152,234195,0,0,0,214495,264732
704,Park Rapids,Hubbard,2018,4136,5033572,1131710,0,52127,3490700,9595875
705,Parkers Prairie,Otter Tail,2018,1024,1136147,247982,0,0,767776,1116523
706,Paynesville,Stearns,2018,2513,3028086,510206,0,0,2091965,3488032
707,Pease,Mille Lacs,2018,234,129587,0,0,0,60092,93825
708,Pelican Rapids,Otter Tail,2018,2525,2645713,354560,0,0,1741849,3552914
709,Pemberton,Blue Earth,2018,227,304722,,,,244119,335742
710,Pennock,Kandiyohi,2018,513,319882,19227,0,0,197344,252755
711,Pequot Lakes,Crow Wing,2018,2346,7166606,839490,0,0,1924543,3547357
712,Perham,Otter Tail,2018,3388,4805064,694859,0,0,3169084,5186880
713,Perley,Norman,2018,83,66879,0,0,0,64249,109302
714,Peterson,Fillmore,2018,193,157412,0,0,0,122513,222272
715,Pierz,Morrison,2018,1388,1093925,190912,,2727,753510,886629
716,Pillager,Cass,2018,489,585962,60162,0,0,343247,536273
717,Pine City,Pine,2018,3261,2981227,185712,0,25132,1910007,4714243
718,Pine Island,Goodhue,2018,3420,3845320,317233,0,55020,2500917,5084413
719,Pine River,Cass,2018,944,1244014,201065,,,1028965,1217921
720,Pine Springs,Washington,2018,414,184303,0,0,0,125936,125936
721,Pipestone,Pipestone,2018,4150,6838334,848837,0,0,4461485,7501739
722,Plainview,Wabasha,2018,3387,4022310,856082,0,0,3391090,4613131
723,Plato,McLeod,2018,302,360690,0,0,0,252570,344778
725,Plummer,Red Lake,2018,298,302965,10129,0,0,187979,202605
726,Plymouth,Hennepin,2018,78351,67719994,14390378,0,3663068,50709135,68627400
727,Porter,Yellow Medicine,2018,175,147644,0,0,150,89533,141796
728,Preston,Fillmore,2018,1329,2533153,339911,0,218873,1881261,2383153
729,Princeton,Mille Lacs,2018,4755,4813777,1387424,0,0,3840608,5138426
730,Prinsburg,Kandiyohi,2018,501,557598,0,0,0,484959,566090
731,Prior Lake,Scott,2018,26135,22764067,4239400,0,0,12887291,26544745
732,Proctor,Saint Louis,2018,3071,4522568,929927,0,0,2482242,5524858
733,Quamba,Kanabec,2018,116,52853,,,,46250,50630
734,Racine,Mower,2018,446,252696,0,0,0,178519,242914
735,Ramsey,Anoka,2018,27051,20694507,3477737,0,0,12683790,19275200
736,Randall,Morrison,2018,629,388528,30210,,,292184,410158
737,Randolph,Dakota,2018,470,329381,0,0,0,311815,311815
738,Ranier,Koochiching,2018,587,402937,0,0,7554,366273,603322
739,Raymond,Kandiyohi,2018,761,1231615,16150,0,0,422513,705363
740,Red Lake Falls,Red Lake,2018,1381,2269953,55573,0,0,1327083,2120580
741,Red Wing,Goodhue,2018,16522,35366116,4347220,0,0,18210425,42004802
742,Redwood Falls,Redwood,2018,5236,9361580,1486835,0,0,6925914,10194781
743,Regal,Kandiyohi,2018,33,30605,0,0,0,18929,18929
744,Remer,Cass,2018,404,466763,0,0,0,502549,680678
745,Renville,Renville,2018,1227,1450815,261034,0,0,941884,1303494
746,Revere,Redwood,2018,92,88765,0,0,0,54135,54135
747,Rice,Benton,2018,1351,996367,208762,,25467,836034,936298
958,Rice Lake,Saint Louis,2018,4103,1948395,23309,0,0,1041632,1724335
748,Richfield,Hennepin,2018,36436,45285966,8684562,48554,5598354,31141886,49705536
749,Richmond,Stearns,2018,1478,1312099,172779,0,0,749367,1287837
750,Richville,Otter Tail,2018,87,33315,0,0,0,21438,22665
751,Riverton,Crow Wing,2018,111,58812,0,0,0,63140,63140
752,Robbinsdale,Hennepin,2018,14776,13519811,4328594,0,1063620,12025548,14523956
753,Rochester,Olmsted,2018,117444,202945722,27448744,0,0,124771008,186184601
754,Rock Creek,Pine,2018,1634,522474,,,,605069,652564
755,Rockford,Wright,2018,4390,3268068,317018,0,29912,2181444,2833007
756,Rockville,Stearns,2018,2570,1857114,49241,0,0,816818,2322011
757,Rogers,Hennepin,2018,12991,18971649,3055584,0,0,9004088,14792992
758,Rollingstone,Winona,2018,653,551833,0,0,0,270772,509708
761,Roscoe,Stearns,2018,103,55877,0,0,0,41636,41636
762,Rose Creek,Mower,2018,398,340345,0,0,0,208855,267721
763,Roseau,Roseau,2018,2775,3450465,782856,,,2818891,4682450
764,Rosemount,Dakota,2018,24342,23991667,4257644,0,0,13055658,23697173
765,Roseville,Ramsey,2018,36272,34870890,7954306,0,20043,30399139,37830260
766,Rothsay,Wilkin,2018,484,642327,10920,,,446385,703980
767,Round Lake,Nobles,2018,375,339951,7204,0,0,277606,354922
768,Royalton,Morrison,2018,1249,1417800,224477,,21606,671203,1350727
